Unnamed: 0,image_filename,flower_type,dominant_colors,Linalool,Geraniol,Citronellol
1967,dandelion/14439618952_470224b89b_n.jpg,dandelion,yellow,0.09,0.13,0.43
557,sunflower/19697910486_0086d893a2.jpg,sunflower,yellow,0.09,0.26,0.12
2368,tulip/13539827514_79b60b6c22_n.jpg,tulip,pink,0.08,0.16,0.41
1096,rose/14312910041_b747240d56_n.jpg,rose,red,0.07,0.27,0.18
596,sunflower/15054866658_c1a6223403_m.jpg,sunflower,yellow,0.1,0.31,0.13
270,daisy/14354051035_1037b30421_n.jpg,daisy,white,0.08,0.13,0.29
645,sunflower/4872284527_ff52128b97.jpg,sunflower,yellow,0.05,0.34,0.14
208,daisy/2621723097_736febb4a4_n.jpg,daisy,white,0.07,0.14,0.21
1921,dandelion/14914603395_b271ffab56_n.jpg,dandelion,yellow,0.09,0.24,0.12
2021,dandelion/14884028290_a1344eb446.jpg,dandelion,yellow,0.07,0.2,0.27
305,daisy/4268817944_cdbdb226ae.jpg,daisy,white,0.07,0.35,0.17
2455,tulip/15049902081_dd85361f8c_m.jpg,tulip,pink,0.08,0.2,0.24
2316,tulip/16594995743_ce72c61201_n.jpg,tulip,pink,0.07,0.27,0.33
1538,dandelion/4607183665_3472643bc8.jpg,dandelion,yellow,0.08,0.17,0.21
492,daisy/2561352120_7961d8263f.jpg,daisy,white,0.06,0.16,0.5
1076,rose/9298314004_c1a8146521.jpg,rose,red,0.08,0.5,0.23
298,daisy/18901817451_43e2b45f6c.jpg,daisy,white,0.06,0.1,0.48
1423,rose/12406418663_af20dc225f_n.jpg,rose,red,0.06,0.36,0.16
1772,dandelion/4550784336_584d7a65de_m.jpg,dandelion,yellow,0.08,0.39,0.28
1381,rose/17077876795_6dd1b03f54_m.jpg,rose,red,0.06,0.27,0.15
1505,dandelion/5673112305_02fe19297b_n.jpg,dandelion,yellow,0.08,0.34,0.24
101,daisy/13826249325_f61cb15f86_n.jpg,daisy,white,0.08,0.23,0.31
811,sunflower/4989952542_35f2cdd5e2_n.jpg,sunflower,yellow,0.08,0.1,0.16
1197,rose/22093190909_77223e6f53_n.jpg,rose,red,0.08,0.45,0.27
163,daisy/4565255237_9ba29c4d4e_n.jpg,daisy,white,0.05,0.19,0.24
520,sunflower/14348961225_09bd803317_n.jpg,sunflower,yellow,0.05,0.28,0.49
2118,dandelion/5024965767_230f140d60_n.jpg,dandelion,yellow,0.06,0.31,0.27
961,sunflower/9651392844_77f90589ba_n.jpg,sunflower,yellow,0.06,0.12,0.39
1457,rose/5863698305_04a4277401_n.jpg,rose,red,0.06,0.16,0.11
1705,dandelion/8989067485_aab399460b_n.jpg,dandelion,yellow,0.06,0.24,0.15
2182,tulip/16732302779_8aa56f255d_n.jpg,tulip,pink,0.06,0.46,0.34
1701,dandelion/8915661673_9a1cdc3755_m.jpg,dandelion,yellow,0.05,0.39,0.12
875,sunflower/4848279231_c4960e28b2_n.jpg,sunflower,yellow,0.07,0.1,0.34
1654,dandelion/9719816995_8f211abf02_n.jpg,dandelion,yellow,0.09,0.49,0.41
620,sunflower/14397276020_49f9423614.jpg,sunflower,yellow,0.06,0.17,0.22
1875,dandelion/13946048982_4e6ec56987.jpg,dandelion,yellow,0.07,0.25,0.41
2043,dandelion/15002906952_cab2cb29cf.jpg,dandelion,yellow,0.06,0.43,0.32
436,daisy/5874818796_3efbb8769d.jpg,daisy,white,0.07,0.18,0.28
1849,dandelion/23891393761_155af6402c.jpg,dandelion,yellow,0.09,0.29,0.2
1322,rose/18599603859_f2ec616ddf_n.jpg,rose,red,0.06,0.16,0.19
2527,tulip/5661431592_cea1108261_n.jpg,tulip,pink,0.1,0.29,0.19
1693,dandelion/8969938579_4c2032dd96_n.jpg,dandelion,yellow,0.09,0.12,0.47
1626,dandelion/4953240903_a121fba81f_m.jpg,dandelion,yellow,0.08,0.46,0.33
240,daisy/21626652132_97e1318bb8_m.jpg,daisy,white,0.06,0.24,0.34
1853,dandelion/3589816063_50f8de7b64_m.jpg,dandelion,yellow,0.09,0.26,0.38
497,daisy/4683997791_56e7d3c03c_n.jpg,daisy,white,0.09,0.48,0.48
938,sunflower/20972862281_5367f4af88.jpg,sunflower,yellow,0.09,0.23,0.16
1918,dandelion/5607669502_ccd2a76668_n.jpg,dandelion,yellow,0.08,0.29,0.49
485,daisy/4482623536_b9fb5ae41f_n.jpg,daisy,white,0.06,0.45,0.32
1709,dandelion/14070463051_86ab57ab36.jpg,dandelion,yellow,0.05,0.48,0.12
134,daisy/14600779226_7bbc288d40_m.jpg,daisy,white,0.09,0.31,0.35
2522,tulip/4522130258_9ee44cf73f_m.jpg,tulip,pink,0.08,0.16,0.15
2668,tulip/15090146325_b7e1249e60.jpg,tulip,pink,0.09,0.4,0.41
2289,tulip/6958342976_a4a9483488_n.jpg,tulip,pink,0.06,0.36,0.25
2525,tulip/6936168062_a31c28b77c_m.jpg,tulip,pink,0.09,0.49,0.28
860,sunflower/15054865217_e398d0dc9f_n.jpg,sunflower,yellow,0.09,0.41,0.21
1113,rose/4505921907_21c8002fde.jpg,rose,red,0.1,0.5,0.43
2491,tulip/8748266132_5298a91dcf_n.jpg,tulip,pink,0.06,0.18,0.39
102,daisy/8708143485_38d084ac8c_n.jpg,daisy,white,0.06,0.45,0.47
2247,tulip/6931748252_68f06086b3.jpg,tulip,pink,0.05,0.16,0.39
151,daisy/4407065098_ef25f1ccac_n.jpg,daisy,white,0.09,0.35,0.42
1702,dandelion/6400843175_ef07053f8f_m.jpg,dandelion,yellow,0.09,0.31,0.17
1981,dandelion/15644450971_6a28298454_n.jpg,dandelion,yellow,0.08,0.35,0.48
2277,tulip/7166635566_ee240b5408_n.jpg,tulip,pink,0.08,0.42,0.35
1477,rose/4900231976_f8ced2b42a_n.jpg,rose,red,0.05,0.11,0.19
2475,tulip/14124669683_7fb74f20c3.jpg,tulip,pink,0.1,0.47,0.41
884,sunflower/9339697826_88c9c4dc50.jpg,sunflower,yellow,0.07,0.18,0.28
706,sunflower/4940287066_385afd9c18_m.jpg,sunflower,yellow,0.06,0.14,0.23
2215,tulip/15275144259_f9a18ec9cb.jpg,tulip,pink,0.09,0.24,0.26
2236,tulip/4589624702_b6baa83699_m.jpg,tulip,pink,0.09,0.24,0.48
856,sunflower/4933229889_c5d9e36392.jpg,sunflower,yellow,0.05,0.11,0.12
200,daisy/3463313493_9497aa47e5_n.jpg,daisy,white,0.08,0.27,0.2
329,daisy/4085794721_7cd88e0a6c_m.jpg,daisy,white,0.07,0.33,0.39
890,sunflower/20410533613_56da1cce7c.jpg,sunflower,yellow,0.1,0.24,0.11
1742,dandelion/14886963928_d4856f1eb6_n.jpg,dandelion,yellow,0.1,0.38,0.4
801,sunflower/4977385375_e271e282f9.jpg,sunflower,yellow,0.08,0.22,0.39
713,sunflower/9610373748_b9cb67bd55.jpg,sunflower,yellow,0.1,0.42,0.33
1283,rose/6111589202_8b9555364c_m.jpg,rose,red,0.08,0.36,0.27
1229,rose/8642943283_47e44d049d_m.jpg,rose,red,0.06,0.17,0.24
1953,dandelion/4574736702_b15ecf97d0_m.jpg,dandelion,yellow,0.09,0.33,0.24
1491,rose/15061894841_e5aca59ecd_n.jpg,rose,red,0.1,0.49,0.42
807,sunflower/12471791574_bb1be83df4.jpg,sunflower,yellow,0.1,0.11,0.25
290,daisy/2581171297_b0a249b92b_n.jpg,daisy,white,0.1,0.36,0.32
349,daisy/6978826370_7b9aa7c7d5.jpg,daisy,white,0.09,0.32,0.2
84,daisy/14372713423_61e2daae88.jpg,daisy,white,0.05,0.38,0.15
1120,rose/22385375599_1faf334f5d_n.jpg,rose,red,0.08,0.19,0.33
2147,tulip/8562853756_73778dac25_n.jpg,tulip,pink,0.09,0.47,0.15
1684,dandelion/16650892835_9228a3ef67_m.jpg,dandelion,yellow,0.09,0.28,0.16
1055,rose/15674450867_0ced942941_n.jpg,rose,red,0.08,0.36,0.39
789,sunflower/20078409301_aa8061bd0b_n.jpg,sunflower,yellow,0.07,0.49,0.5
1867,dandelion/18999743619_cec3f39bee.jpg,dandelion,yellow,0.08,0.49,0.15
689,sunflower/6050020905_881295ac72_n.jpg,sunflower,yellow,0.08,0.17,0.38
1965,dandelion/14058811536_f29cd7bd58_n.jpg,dandelion,yellow,0.05,0.45,0.3
1198,rose/15822837396_96b392fda8_m.jpg,rose,red,0.09,0.33,0.3
138,daisy/9350942387_5b1d043c26_n.jpg,daisy,white,0.07,0.4,0.21
1268,rose/8987479080_32ab912d10_n.jpg,rose,red,0.07,0.22,0.21
2372,tulip/17189526216_fa24dd541a_n.jpg,tulip,pink,0.08,0.41,0.45
2444,tulip/8762193202_0fbf2f6a81.jpg,tulip,pink,0.1,0.5,0.25
1061,rose/16476788181_0e2ffc719a.jpg,rose,red,0.08,0.38,0.38
719,sunflower/8543642705_b841b0e5f6.jpg,sunflower,yellow,0.08,0.38,0.14
1408,rose/15255964454_0a64eb67fa.jpg,rose,red,0.07,0.45,0.4
48,daisy/8382667241_0f046cecdb_n.jpg,daisy,white,0.1,0.2,0.11
2073,dandelion/3730618647_5725c692c3_m.jpg,dandelion,yellow,0.09,0.17,0.11
737,sunflower/23356825566_f5885875f2.jpg,sunflower,yellow,0.08,0.35,0.33
1843,dandelion/6983105424_f33cc9b08d_m.jpg,dandelion,yellow,0.05,0.49,0.5
2301,tulip/13509967925_eaaeefa396_m.jpg,tulip,pink,0.05,0.16,0.47
417,daisy/18400014056_2e4c601ed5.jpg,daisy,white,0.08,0.37,0.42
658,sunflower/18097401209_910a46fae1_n.jpg,sunflower,yellow,0.07,0.38,0.23
1682,dandelion/18889216716_cd67aec890_n.jpg,dandelion,yellow,0.06,0.12,0.32
2716,tulip/17199499591_67b64b21ed_m.jpg,tulip,pink,0.05,0.28,0.35
1328,rose/3526860692_4c551191b1_m.jpg,rose,red,0.09,0.24,0.32
534,sunflower/5998488415_a6bacd9f83.jpg,sunflower,yellow,0.09,0.13,0.24
2110,dandelion/18479635994_83f93f4120.jpg,dandelion,yellow,0.1,0.16,0.34
621,sunflower/7176723954_e41618edc1_n.jpg,sunflower,yellow,0.07,0.2,0.31
2353,tulip/4679869990_7c5f28f2fe_n.jpg,tulip,pink,0.05,0.33,0.43
1242,rose/7147367479_f7a6ef0798.jpg,rose,red,0.05,0.11,0.48
655,sunflower/8041242566_752def876e_n.jpg,sunflower,yellow,0.08,0.38,0.38
1856,dandelion/5033866477_a77cccba49_m.jpg,dandelion,yellow,0.06,0.29,0.4
1431,rose/9433167170_fa056d3175.jpg,rose,red,0.1,0.3,0.49
1205,rose/3145692843_d46ba4703c.jpg,rose,red,0.07,0.15,0.13
2391,tulip/6958243974_8851425ddb_n.jpg,tulip,pink,0.09,0.21,0.26
2158,tulip/5718781677_d5e9267115_n.jpg,tulip,pink,0.08,0.32,0.15
1321,rose/3203779656_3580151ea4_m.jpg,rose,red,0.1,0.43,0.32
2367,tulip/8712269349_2b933da2b8_n.jpg,tulip,pink,0.09,0.45,0.17
2725,tulip/12548574923_5e90f4ceea.jpg,tulip,pink,0.08,0.4,0.44
867,sunflower/4933229197_ff75a40d55.jpg,sunflower,yellow,0.1,0.15,0.37
1426,rose/15312360171_57bde98799_n.jpg,rose,red,0.09,0.19,0.18
1550,dandelion/4265711814_9a006ee5b8.jpg,dandelion,yellow,0.1,0.22,0.23
2183,tulip/17282288501_e8738c9cfb_n.jpg,tulip,pink,0.09,0.14,0.25
2349,tulip/6994351792_343e18cbf6_n.jpg,tulip,pink,0.06,0.32,0.4
2635,tulip/16283125269_4cfae953f1.jpg,tulip,pink,0.07,0.12,0.28
616,sunflower/15745084272_36402f5ee6_n.jpg,sunflower,yellow,0.09,0.33,0.47
1136,rose/14001990976_bd2da42dbc.jpg,rose,red,0.1,0.47,0.31
97,daisy/3637428148_a1dcccafa9_n.jpg,daisy,white,0.09,0.48,0.26
2686,tulip/4550091966_7f3e0f8802_n.jpg,tulip,pink,0.09,0.4,0.25
147,daisy/3379332157_04724f6480.jpg,daisy,white,0.09,0.25,0.46
106,daisy/8706810197_17b6c1f1e7.jpg,daisy,white,0.08,0.48,0.21
610,sunflower/14741866338_bdc8bfc8d5_n.jpg,sunflower,yellow,0.07,0.25,0.32
1072,rose/12240165555_98625b1e88_n.jpg,rose,red,0.06,0.1,0.41
1370,rose/6803363808_9f9ce98186_m.jpg,rose,red,0.1,0.22,0.22
2511,tulip/4571353297_5634177744_n.jpg,tulip,pink,0.06,0.24,0.15
2216,tulip/8713398614_88202e452e_n.jpg,tulip,pink,0.07,0.4,0.27
56,daisy/5973488341_50bdf6cee3_n.jpg,daisy,white,0.08,0.28,0.42
818,sunflower/14646281372_5f13794b47.jpg,sunflower,yellow,0.07,0.45,0.39
2470,tulip/13979840624_28466cb3ec_n.jpg,tulip,pink,0.06,0.33,0.19
878,sunflower/21984860006_20dfacea1c_m.jpg,sunflower,yellow,0.07,0.31,0.26
2177,tulip/12025038686_7f10811d4b_n.jpg,tulip,pink,0.05,0.36,0.19
278,daisy/3415180846_d7b5cced14_m.jpg,daisy,white,0.09,0.31,0.27
1605,dandelion/6229634119_af5fec0a22.jpg,dandelion,yellow,0.08,0.27,0.21
2268,tulip/17781940352_a45e4289a5.jpg,tulip,pink,0.07,0.17,0.37
2190,tulip/12916441224_2ed63596f8_n.jpg,tulip,pink,0.07,0.2,0.3
1552,dandelion/14469481104_d0e29f7ffd.jpg,dandelion,yellow,0.07,0.21,0.18
1369,rose/8394286483_69fe04cc7f.jpg,rose,red,0.06,0.48,0.41
2049,dandelion/18587334446_ef1021909b_n.jpg,dandelion,yellow,0.05,0.26,0.26
2724,tulip/10094731133_94a942463c.jpg,tulip,pink,0.05,0.4,0.37
2376,tulip/5543457754_89c44c88de_n.jpg,tulip,pink,0.06,0.43,0.1
128,daisy/14569895116_32f0dcb0f9.jpg,daisy,white,0.08,0.46,0.16
764,sunflower/13096076565_72c2c60875_n.jpg,sunflower,yellow,0.06,0.32,0.33
2467,tulip/16309287412_5cc4d58bd1_n.jpg,tulip,pink,0.06,0.17,0.19
2221,tulip/14084749296_6143c74c72_m.jpg,tulip,pink,0.07,0.4,0.23
2620,tulip/8733586143_3139db6e9e_n.jpg,tulip,pink,0.09,0.46,0.28
183,daisy/11834945233_a53b7a92ac_m.jpg,daisy,white,0.05,0.5,0.26
2528,tulip/17094167287_865840060d_n.jpg,tulip,pink,0.1,0.21,0.45
548,sunflower/14925397651_97dcddc383_n.jpg,sunflower,yellow,0.09,0.22,0.35
2621,tulip/5674132053_b40a7d32ca.jpg,tulip,pink,0.1,0.16,0.29
1619,dandelion/14076873230_d0bd53b220.jpg,dandelion,yellow,0.07,0.11,0.36
55,daisy/4610018126_21f438d2dc_m.jpg,daisy,white,0.05,0.23,0.33
1812,dandelion/7004645518_ff0f862eff_n.jpg,dandelion,yellow,0.1,0.19,0.5
1700,dandelion/4278757393_bca8415ed4_n.jpg,dandelion,yellow,0.06,0.23,0.27
2104,dandelion/7843447416_847e6ba7f4_m.jpg,dandelion,yellow,0.09,0.42,0.31
2227,tulip/13997627965_22d81601ce_n.jpg,tulip,pink,0.06,0.42,0.41
304,daisy/5110105726_53eb7a93be_m.jpg,daisy,white,0.09,0.29,0.16
575,sunflower/9384867134_83af458a19_n.jpg,sunflower,yellow,0.06,0.45,0.3
1657,dandelion/8723679596_391a724d4f_m.jpg,dandelion,yellow,0.1,0.4,0.39
1612,dandelion/6994933428_307b092ce7_m.jpg,dandelion,yellow,0.09,0.3,0.17
590,sunflower/9410186154_465642ed35.jpg,sunflower,yellow,0.09,0.43,0.37
2685,tulip/5730908127_da871df0f8.jpg,tulip,pink,0.09,0.48,0.38
62,daisy/5054771689_00dd40b971_n.jpg,daisy,white,0.08,0.31,0.36
2688,tulip/8688502760_1c8d6de921_m.jpg,tulip,pink,0.1,0.2,0.25
990,sunflower/4893660821_eb7f02bef3_n.jpg,sunflower,yellow,0.08,0.28,0.18
1807,dandelion/4629844753_4e02015d29_m.jpg,dandelion,yellow,0.06,0.15,0.14
1884,dandelion/14070457521_8eb41f65fa.jpg,dandelion,yellow,0.09,0.31,0.43
612,sunflower/4818994715_9d90527d18_n.jpg,sunflower,yellow,0.06,0.13,0.26
2657,tulip/5674704952_9bd225ed9e_n.jpg,tulip,pink,0.07,0.35,0.48
2024,dandelion/3530495617_fd84fb321a_m.jpg,dandelion,yellow,0.07,0.24,0.44
2211,tulip/8717900362_2aa508e9e5.jpg,tulip,pink,0.06,0.46,0.13
1470,rose/6950609394_c53b8c6ac0_m.jpg,rose,red,0.09,0.24,0.29
809,sunflower/12471441503_d188b5f31a_m.jpg,sunflower,yellow,0.09,0.11,0.19
1439,rose/8524505546_b242bd4928_n.jpg,rose,red,0.06,0.32,0.37
2658,tulip/8713391394_4b679ea1e3_n.jpg,tulip,pink,0.06,0.18,0.22
2501,tulip/10094729603_eeca3f2cb6.jpg,tulip,pink,0.08,0.33,0.25
1986,dandelion/3856725141_0db85f466d_n.jpg,dandelion,yellow,0.05,0.32,0.42
355,daisy/8619103877_d8c82c5f34_n.jpg,daisy,white,0.1,0.36,0.33
2463,tulip/14067761295_7cfe6a42e9.jpg,tulip,pink,0.05,0.17,0.35
894,sunflower/20972866151_e6a928b00a.jpg,sunflower,yellow,0.08,0.42,0.48
1014,rose/5721768347_2ec4d2247b_n.jpg,rose,red,0.05,0.42,0.21
2625,tulip/17844723633_da85357fe3.jpg,tulip,pink,0.08,0.11,0.24
1108,rose/8667101118_87ea757b15.jpg,rose,red,0.07,0.34,0.32
2179,tulip/13514136074_ab1b827e4f.jpg,tulip,pink,0.06,0.38,0.33
1525,dandelion/8327657321_2cbceec396_n.jpg,dandelion,yellow,0.09,0.37,0.31
220,daisy/4440480869_632ce6aff3_n.jpg,daisy,white,0.1,0.45,0.17
2641,tulip/15516715153_08abc9bb20_n.jpg,tulip,pink,0.1,0.28,0.13
2392,tulip/8697784345_e75913d220.jpg,tulip,pink,0.1,0.4,0.2
1648,dandelion/17080000869_a80e767f4a_m.jpg,dandelion,yellow,0.08,0.27,0.29
1613,dandelion/8642679391_0805b147cb_m.jpg,dandelion,yellow,0.09,0.38,0.35
389,daisy/6884975451_c74f445d69_m.jpg,daisy,white,0.07,0.37,0.49
2580,tulip/5670916806_df4316006f_n.jpg,tulip,pink,0.09,0.18,0.21
1112,rose/5212885371_fe27c406a2_n.jpg,rose,red,0.05,0.21,0.36
12,daisy/10172567486_2748826a8b.jpg,daisy,white,0.08,0.27,0.49
1051,rose/4504731519_9a260b6607_n.jpg,rose,red,0.07,0.44,0.44
2327,tulip/13539404903_cd113e3e9b.jpg,tulip,pink,0.06,0.15,0.39
401,daisy/6089825811_80f253fbe1.jpg,daisy,white,0.06,0.28,0.25
989,sunflower/9699724719_a8439cc0fd_n.jpg,sunflower,yellow,0.08,0.12,0.39
416,daisy/5869147563_66fb88119d.jpg,daisy,white,0.06,0.24,0.13
1995,dandelion/19551343954_83bb52f310_m.jpg,dandelion,yellow,0.08,0.33,0.44
725,sunflower/6606749757_b98a4ba403.jpg,sunflower,yellow,0.07,0.45,0.48
1227,rose/6653567281_768a1fd160.jpg,rose,red,0.05,0.24,0.13
2500,tulip/16074109313_2cc14c7d16.jpg,tulip,pink,0.09,0.32,0.13
771,sunflower/15118243470_7e0a7f159c_n.jpg,sunflower,yellow,0.09,0.19,0.36
1520,dandelion/18238604119_a5689980ee_n.jpg,dandelion,yellow,0.1,0.13,0.36
830,sunflower/20777358950_c63ea569a1.jpg,sunflower,yellow,0.09,0.23,0.3
406,daisy/2649404904_b7a91991bb_n.jpg,daisy,white,0.08,0.12,0.28
236,daisy/15853110333_229c439e7f.jpg,daisy,white,0.06,0.11,0.36
2691,tulip/14266093711_66d18a1e44_n.jpg,tulip,pink,0.07,0.25,0.27
458,daisy/7358085448_b317d11cd5.jpg,daisy,white,0.08,0.33,0.23
1013,rose/15094168139_8f636ffa1d_n.jpg,rose,red,0.05,0.34,0.23
2537,tulip/5716293002_a8be6a6dd3_n.jpg,tulip,pink,0.05,0.33,0.34
648,sunflower/8234846550_fdaf326dbe.jpg,sunflower,yellow,0.08,0.11,0.16
2434,tulip/5635347336_bc1400e939_n.jpg,tulip,pink,0.06,0.12,0.23
1826,dandelion/8168031302_6e36f39d87.jpg,dandelion,yellow,0.05,0.46,0.12
822,sunflower/7270375648_79f0caef42_n.jpg,sunflower,yellow,0.07,0.26,0.28
2547,tulip/4508346090_a27b988f79_n.jpg,tulip,pink,0.1,0.34,0.46
2460,tulip/6267021825_a8316e0dcc_m.jpg,tulip,pink,0.06,0.33,0.34
939,sunflower/19710925313_31682fa22b_m.jpg,sunflower,yellow,0.1,0.49,0.24
125,daisy/3713290261_8a66de23ab.jpg,daisy,white,0.07,0.32,0.42
2076,dandelion/14554897292_b3e30e52f2.jpg,dandelion,yellow,0.05,0.27,0.27
667,sunflower/15241052342_466b38b68d.jpg,sunflower,yellow,0.08,0.39,0.5
2557,tulip/12025042086_78bafc0eb6_n.jpg,tulip,pink,0.09,0.35,0.11
2219,tulip/14651385476_7ccb20e594_m.jpg,tulip,pink,0.09,0.39,0.12
1362,rose/15977362155_461030c196_m.jpg,rose,red,0.09,0.47,0.31
1325,rose/3412874275_ca78ee024d_m.jpg,rose,red,0.05,0.37,0.47
2369,tulip/13953090784_0c7d7a904e.jpg,tulip,pink,0.1,0.17,0.47
269,daisy/8671824531_64b816949e_m.jpg,daisy,white,0.07,0.49,0.18
1006,rose/6241886381_cc722785af.jpg,rose,red,0.07,0.43,0.36
1067,rose/9167147034_0a66ee3616_n.jpg,rose,red,0.09,0.33,0.23
2680,tulip/12163418275_bd6a1edd61.jpg,tulip,pink,0.06,0.38,0.22
1420,rose/16018886851_c32746cb72.jpg,rose,red,0.06,0.13,0.38
1659,dandelion/9853885425_4a82356f1d_m.jpg,dandelion,yellow,0.09,0.13,0.41
423,daisy/3962240986_0661edc43a_n.jpg,daisy,white,0.1,0.48,0.12
306,daisy/14167543177_cd36b54ac6_n.jpg,daisy,white,0.07,0.2,0.2
1727,dandelion/10200780773_c6051a7d71_n.jpg,dandelion,yellow,0.08,0.26,0.2
2198,tulip/7094271655_79a6f972c1_n.jpg,tulip,pink,0.1,0.18,0.1
1970,dandelion/8980273068_cf7e8b880a_n.jpg,dandelion,yellow,0.06,0.17,0.17
2532,tulip/5811022098_2523ca4e82.jpg,tulip,pink,0.06,0.33,0.36
2643,tulip/14026857634_500d7b41d6_m.jpg,tulip,pink,0.07,0.39,0.35
116,daisy/6950173662_5e9473003e_n.jpg,daisy,white,0.08,0.29,0.13
1316,rose/12407768513_3440238148_n.jpg,rose,red,0.08,0.39,0.16
1089,rose/16155980245_6ab8d7b888.jpg,rose,red,0.07,0.18,0.45
2033,dandelion/18996965033_1d92e5c99e.jpg,dandelion,yellow,0.1,0.26,0.36
1886,dandelion/4635296297_9ce69e4a6e.jpg,dandelion,yellow,0.06,0.28,0.24
2571,tulip/4521037085_70d5802e1d_m.jpg,tulip,pink,0.09,0.19,0.37
1212,rose/4694341873_65fe187a4e_n.jpg,rose,red,0.06,0.19,0.48
1297,rose/17090993740_fcc8b60b81.jpg,rose,red,0.06,0.19,0.39
551,sunflower/5952223760_85972671d6_n.jpg,sunflower,yellow,0.05,0.4,0.42
1449,rose/9404876600_04f6d37685.jpg,rose,red,0.05,0.11,0.49
887,sunflower/6606817351_10f6e43a09.jpg,sunflower,yellow,0.08,0.49,0.21
2334,tulip/14068348874_7b36c99f6a.jpg,tulip,pink,0.07,0.5,0.15
2283,tulip/17224410762_402455ed8f.jpg,tulip,pink,0.05,0.45,0.22
2222,tulip/14067456066_87e15792d0.jpg,tulip,pink,0.06,0.11,0.35
2538,tulip/7166570828_7c26ca5766_n.jpg,tulip,pink,0.07,0.41,0.22
2017,dandelion/16837594326_1056d875a4_m.jpg,dandelion,yellow,0.05,0.21,0.29
2698,tulip/8708209606_d3aede4801.jpg,tulip,pink,0.06,0.33,0.48
1592,dandelion/18482768066_677292a64e.jpg,dandelion,yellow,0.1,0.14,0.41
2325,tulip/15922772266_1167a06620.jpg,tulip,pink,0.1,0.18,0.11
1763,dandelion/8681169825_19a21c6bf5_m.jpg,dandelion,yellow,0.05,0.16,0.47
760,sunflower/14932787983_d6e05f2434_m.jpg,sunflower,yellow,0.07,0.48,0.38
114,daisy/4511693548_20f9bd2b9c_m.jpg,daisy,white,0.09,0.21,0.31
2220,tulip/14116826873_d4bab623bf_n.jpg,tulip,pink,0.1,0.44,0.17
1138,rose/15277801151_5ed88f40f0_n.jpg,rose,red,0.08,0.25,0.13
