,image_filename,flower_type,dominant_colors,Linalool,Geraniol,Citronellol
24,daisy/14471433500_cdaa22e3ea_m.jpg,daisy,white,0.05,0.16,0.43
25,daisy/18635898912_eb8e058ef0.jpg,daisy,white,0.06,0.28,0.42
26,daisy/10993818044_4c19b86c82.jpg,daisy,white,0.08,0.35,0.33
27,daisy/20703737132_179560d0fb.jpg,daisy,white,0.1,0.24,0.29
28,daisy/11023272144_fce94401f2_m.jpg,daisy,white,0.06,0.41,0.14
29,daisy/10140303196_b88d3d6cec.jpg,daisy,white,0.08,0.26,0.2
30,daisy/4229503616_9b8a42123c_n.jpg,daisy,white,0.08,0.28,0.48
31,daisy/5434914569_e9b982fde0_n.jpg,daisy,white,0.06,0.44,0.21
32,daisy/2666572212_2caca8de9f_n.jpg,daisy,white,0.05,0.15,0.46
33,daisy/5853276960_d08f90fff6.jpg,daisy,white,0.07,0.35,0.13
34,daisy/10770585085_4742b9dac3_n.jpg,daisy,white,0.09,0.27,0.12
35,daisy/4278442064_a5a598524b_m.jpg,daisy,white,0.09,0.16,0.23
36,daisy/3758221664_b19116d61f.jpg,daisy,white,0.06,0.16,0.16
37,daisy/2511306240_9047015f2d_n.jpg,daisy,white,0.08,0.46,0.34
38,daisy/13491959645_2cd9df44d6_n.jpg,daisy,white,0.06,0.24,0.2
39,daisy/2514748602_343d4727c0_n.jpg,daisy,white,0.05,0.48,0.18
40,daisy/8718637649_87a0d85190_n.jpg,daisy,white,0.07,0.11,0.25
41,daisy/3338077096_3a8ed0e2bc_m.jpg,daisy,white,0.08,0.34,0.46
42,daisy/5133243796_44de429de5_m.jpg,daisy,white,0.09,0.5,0.23
43,daisy/2862944799_45bc8e7302.jpg,daisy,white,0.09,0.33,0.43
44,daisy/5512287917_9f5d3f0f98_n.jpg,daisy,white,0.09,0.49,0.31
45,daisy/5577555349_2e8490259b.jpg,daisy,white,0.07,0.18,0.39
46,daisy/4598422221_b37313a3e3_n.jpg,daisy,white,0.06,0.36,0.38
47,daisy/5665838969_fe217988b9_m.jpg,daisy,white,0.06,0.45,0.25
48,daisy/8382667241_0f046cecdb_n.jpg,daisy,white,0.1,0.2,0.11
49,daisy/2578695910_5ab8ee17c1_n.jpg,daisy,white,0.05,0.32,0.29
50,daisy/6480809771_b1e14c5cc2_m.jpg,daisy,white,0.08,0.35,0.38
51,daisy/3410906335_37e8a24b1c_n.jpg,daisy,white,0.06,0.31,0.44
52,daisy/14350958832_29bdd3a254.jpg,daisy,white,0.08,0.34,0.18
53,daisy/4724713781_d169f98a35.jpg,daisy,white,0.09,0.36,0.22
54,daisy/4544110929_a7de65d65f_n.jpg,daisy,white,0.09,0.39,0.39
55,daisy/4610018126_21f438d2dc_m.jpg,daisy,white,0.05,0.23,0.33
56,daisy/5973488341_50bdf6cee3_n.jpg,daisy,white,0.08,0.28,0.42
57,daisy/5632774792_0fa33d17eb_n.jpg,daisy,white,0.1,0.4,0.46
58,daisy/11870378973_2ec1919f12.jpg,daisy,white,0.08,0.19,0.12
59,daisy/6148728633_27afc47b0c_m.jpg,daisy,white,0.08,0.16,0.19
60,daisy/18684594849_7dd3634f5e_n.jpg,daisy,white,0.08,0.41,0.34
61,daisy/5110109540_beed4ed162_m.jpg,daisy,white,0.09,0.19,0.44
62,daisy/5054771689_00dd40b971_n.jpg,daisy,white,0.08,0.31,0.36
63,daisy/14674743211_f68b13f6d9.jpg,daisy,white,0.1,0.17,0.41
64,daisy/3699235066_fc09a02dfe_m.jpg,daisy,white,0.1,0.4,0.34
65,daisy/3337643329_accc9b5426.jpg,daisy,white,0.07,0.15,0.37
66,daisy/14554906452_35f066ffe9_n.jpg,daisy,white,0.06,0.38,0.42
67,daisy/7454630692_ab2d67dd18_m.jpg,daisy,white,0.07,0.42,0.39
68,daisy/18442919723_d1251d3e14_n.jpg,daisy,white,0.08,0.23,0.5
69,daisy/10712722853_5632165b04.jpg,daisy,white,0.06,0.21,0.29
70,daisy/3440366251_5b9bdf27c9_m.jpg,daisy,white,0.06,0.49,0.41
71,daisy/14307766919_fac3c37a6b_m.jpg,daisy,white,0.09,0.24,0.12
72,daisy/3661613900_b15ca1d35d_m.jpg,daisy,white,0.09,0.24,0.33
73,daisy/3491933306_43cfe2cfbe.jpg,daisy,white,0.09,0.19,0.2
74,daisy/5876455546_32049e5585.jpg,daisy,white,0.07,0.36,0.21
75,daisy/22244161124_53e457bb66_n.jpg,daisy,white,0.08,0.34,0.49
76,daisy/19813618946_93818db7aa_m.jpg,daisy,white,0.07,0.43,0.19
77,daisy/3963330924_6c6a3fa7be_n.jpg,daisy,white,0.09,0.22,0.46
78,daisy/5773652803_574b51414f_n.jpg,daisy,white,0.08,0.29,0.36
79,daisy/4434592930_6610d51fca_m.jpg,daisy,white,0.07,0.49,0.38
80,daisy/10437770546_8bb6f7bdd3_m.jpg,daisy,white,0.06,0.36,0.43
81,daisy/3704306975_75b74497d8.jpg,daisy,white,0.07,0.32,0.49
82,daisy/2590291468_2635d3e4e0_n.jpg,daisy,white,0.06,0.44,0.21
83,daisy/5110110938_9da91455c4_m.jpg,daisy,white,0.07,0.39,0.11
84,daisy/14372713423_61e2daae88.jpg,daisy,white,0.05,0.38,0.15
85,daisy/3456403987_5bd5fa6ece_n.jpg,daisy,white,0.05,0.26,0.16
86,daisy/3861452393_14d2f95157_m.jpg,daisy,white,0.07,0.19,0.16
87,daisy/9244082319_b1f7e2d8b0_n.jpg,daisy,white,0.1,0.13,0.41
88,daisy/15306268004_4680ba95e1.jpg,daisy,white,0.08,0.11,0.45
89,daisy/2498632196_e47a472d5a.jpg,daisy,white,0.05,0.15,0.12
90,daisy/16291797949_a1b1b7c2bd_n.jpg,daisy,white,0.07,0.29,0.39
91,daisy/3999978867_c67c79597f_m.jpg,daisy,white,0.05,0.29,0.3
92,daisy/2641151167_3bf1349606_m.jpg,daisy,white,0.09,0.45,0.45
93,daisy/7633425046_8293e3d0e9_m.jpg,daisy,white,0.1,0.13,0.43
94,daisy/4757448834_a29a9538c9_n.jpg,daisy,white,0.08,0.18,0.32
95,daisy/9204730092_a7f2182347.jpg,daisy,white,0.08,0.24,0.31
96,daisy/2521408074_e6f86daf21_n.jpg,daisy,white,0.08,0.25,0.14
97,daisy/3637428148_a1dcccafa9_n.jpg,daisy,white,0.09,0.48,0.26
98,daisy/5602738326_97121e007d_n.jpg,daisy,white,0.05,0.27,0.15
99,daisy/5434913005_409c1e8b56_n.jpg,daisy,white,0.09,0.42,0.29
100,daisy/7629784968_b953501902_n.jpg,daisy,white,0.1,0.12,0.16
101,daisy/13826249325_f61cb15f86_n.jpg,daisy,white,0.08,0.23,0.31
102,daisy/8708143485_38d084ac8c_n.jpg,daisy,white,0.06,0.45,0.47
103,daisy/10555749515_13a12a026e.jpg,daisy,white,0.09,0.14,0.46
104,daisy/7790614422_4557928ab9_n.jpg,daisy,white,0.08,0.47,0.46
105,daisy/3780380240_ef9ec1b737_m.jpg,daisy,white,0.06,0.19,0.44
106,daisy/8706810197_17b6c1f1e7.jpg,daisy,white,0.08,0.48,0.21
107,daisy/18474740346_ffdaa18032.jpg,daisy,white,0.09,0.16,0.12
108,daisy/19975899671_ebc42b7865_n.jpg,daisy,white,0.05,0.44,0.49
109,daisy/20619292635_9857a12d54.jpg,daisy,white,0.06,0.19,0.13
110,daisy/18622672908_eab6dc9140_n.jpg,daisy,white,0.07,0.47,0.39
111,daisy/16025261368_911703a536_n.jpg,daisy,white,0.06,0.48,0.24
112,daisy/15760153042_a2a90e9da5_m.jpg,daisy,white,0.09,0.41,0.32
113,daisy/4858518329_7563eb0baa_m.jpg,daisy,white,0.09,0.12,0.19
114,daisy/4511693548_20f9bd2b9c_m.jpg,daisy,white,0.09,0.21,0.31
115,daisy/4668543441_79040ca329_n.jpg,daisy,white,0.09,0.33,0.33
116,daisy/6950173662_5e9473003e_n.jpg,daisy,white,0.08,0.29,0.13
117,daisy/2611119198_9d46b94392.jpg,daisy,white,0.07,0.46,0.33
118,daisy/5796562389_ae43c83317_m.jpg,daisy,white,0.07,0.25,0.2
119,daisy/3773181799_5def396456.jpg,daisy,white,0.07,0.19,0.48
120,daisy/4131565290_0585c4dd5a_n.jpg,daisy,white,0.05,0.11,0.18
121,daisy/9321854387_5f77c926cb_n.jpg,daisy,white,0.06,0.23,0.26
122,daisy/3957488431_52a447c0e8_m.jpg,daisy,white,0.07,0.5,0.17
123,daisy/14330343061_99478302d4_m.jpg,daisy,white,0.05,0.3,0.2
124,daisy/8696022686_1f8d62c5cb_m.jpg,daisy,white,0.1,0.28,0.37
125,daisy/3713290261_8a66de23ab.jpg,daisy,white,0.07,0.32,0.42
126,daisy/4865691548_00319261b8.jpg,daisy,white,0.09,0.39,0.49
127,daisy/9345273630_af3550031d.jpg,daisy,white,0.09,0.21,0.39
128,daisy/14569895116_32f0dcb0f9.jpg,daisy,white,0.08,0.46,0.16
129,daisy/7189043225_2fe781439a_n.jpg,daisy,white,0.08,0.28,0.37
130,daisy/14021430525_e06baf93a9.jpg,daisy,white,0.06,0.38,0.19
131,daisy/16737503507_431768a927.jpg,daisy,white,0.06,0.42,0.37
132,daisy/2607132536_d95198e619_n.jpg,daisy,white,0.06,0.27,0.12
133,daisy/8127252886_96558c23d1.jpg,daisy,white,0.07,0.42,0.3
134,daisy/14600779226_7bbc288d40_m.jpg,daisy,white,0.09,0.31,0.35
135,daisy/16492248512_61a57dfec1_m.jpg,daisy,white,0.08,0.12,0.48
136,daisy/5435521200_92029bbe2b_n.jpg,daisy,white,0.05,0.26,0.16
137,daisy/14564545365_1f1d267bf1_n.jpg,daisy,white,0.06,0.36,0.3
138,daisy/9350942387_5b1d043c26_n.jpg,daisy,white,0.07,0.4,0.21
139,daisy/3939135368_0af5c4982a_n.jpg,daisy,white,0.07,0.23,0.11
140,daisy/7630520686_e3a61ac763.jpg,daisy,white,0.06,0.33,0.29
141,daisy/14163875973_467224aaf5_m.jpg,daisy,white,0.09,0.13,0.11
142,daisy/2838487505_6c3b48efa5_m.jpg,daisy,white,0.05,0.18,0.37
143,daisy/9161647994_e39b65cb9c_n.jpg,daisy,white,0.05,0.25,0.33
144,daisy/16833748795_b681b2839f_n.jpg,daisy,white,0.1,0.14,0.21
145,daisy/10172636503_21bededa75_n.jpg,daisy,white,0.06,0.21,0.43
146,daisy/4657354814_f368762c53_m.jpg,daisy,white,0.06,0.47,0.17
147,daisy/3379332157_04724f6480.jpg,daisy,white,0.09,0.25,0.46
148,daisy/2901376034_cdb4bac26b_m.jpg,daisy,white,0.1,0.26,0.1
149,daisy/6095817094_3a5b1d793d.jpg,daisy,white,0.09,0.38,0.28
150,daisy/4837182901_69a6cc782b_n.jpg,daisy,white,0.09,0.36,0.34
151,daisy/4407065098_ef25f1ccac_n.jpg,daisy,white,0.09,0.35,0.42
152,daisy/3711723108_65247a3170.jpg,daisy,white,0.1,0.14,0.14
153,daisy/20329326505_a777c71cc2.jpg,daisy,white,0.07,0.22,0.12
154,daisy/4318007511_e9f4311936_n.jpg,daisy,white,0.07,0.28,0.32
155,daisy/5110107234_12ddc0206b_m.jpg,daisy,white,0.06,0.11,0.18
156,daisy/9054268881_19792c5203_n.jpg,daisy,white,0.1,0.48,0.15
157,daisy/14716799982_ed6d626a66.jpg,daisy,white,0.07,0.34,0.21
158,daisy/5574421625_61b1f49b3f_m.jpg,daisy,white,0.07,0.17,0.22
159,daisy/9922116524_ab4a2533fe_n.jpg,daisy,white,0.06,0.19,0.21
160,daisy/8085329197_41d53a21e2_n.jpg,daisy,white,0.09,0.48,0.25
161,daisy/5883162120_dc7274af76_n.jpg,daisy,white,0.07,0.13,0.34
162,daisy/8882282142_9be2524d38_m.jpg,daisy,white,0.09,0.31,0.43
163,daisy/4565255237_9ba29c4d4e_n.jpg,daisy,white,0.05,0.19,0.24
164,daisy/9489270024_1b05f08492_m.jpg,daisy,white,0.07,0.37,0.34
165,daisy/5973491805_556bba93cc.jpg,daisy,white,0.08,0.34,0.33
166,daisy/14523675369_97c31d0b5b.jpg,daisy,white,0.06,0.43,0.24
167,daisy/4753134939_8e87649db6.jpg,daisy,white,0.07,0.36,0.1
168,daisy/2561371688_c80a4fe957_n.jpg,daisy,white,0.05,0.34,0.36
169,daisy/14073784469_ffb12f3387_n.jpg,daisy,white,0.09,0.12,0.44
170,daisy/12701063955_4840594ea6_n.jpg,daisy,white,0.05,0.47,0.25
171,daisy/2632216904_274aa17433.jpg,daisy,white,0.05,0.13,0.41
172,daisy/8071646795_2fdc89ab7a_n.jpg,daisy,white,0.1,0.21,0.3
173,daisy/6323721068_3d3394af6d_n.jpg,daisy,white,0.08,0.4,0.12
174,daisy/3611577717_f3a7a8c416_n.jpg,daisy,white,0.07,0.37,0.37
175,daisy/4538877108_3c793f7987_m.jpg,daisy,white,0.09,0.49,0.21
176,daisy/2908212142_5437fa67ff_n.jpg,daisy,white,0.07,0.33,0.14
177,daisy/5434901893_4550be3f84_m.jpg,daisy,white,0.09,0.32,0.21
178,daisy/3750250718_eb61146c5f.jpg,daisy,white,0.08,0.35,0.35
179,daisy/3285641623_da0e47f49a.jpg,daisy,white,0.06,0.4,0.25
180,daisy/15327813273_06cdf42210.jpg,daisy,white,0.06,0.44,0.38
181,daisy/4746633946_23933c0810.jpg,daisy,white,0.06,0.17,0.34
182,daisy/12585131704_0f64b17059_m.jpg,daisy,white,0.05,0.41,0.37
183,daisy/11834945233_a53b7a92ac_m.jpg,daisy,white,0.05,0.5,0.26
184,daisy/4117918318_3c8935289b_m.jpg,daisy,white,0.06,0.15,0.28
185,daisy/4413849849_b8d2f3bcf1_n.jpg,daisy,white,0.07,0.49,0.34
186,daisy/14907815010_bff495449f.jpg,daisy,white,0.1,0.37,0.11
187,daisy/3336704121_cfeb67a7d7.jpg,daisy,white,0.06,0.19,0.38
188,daisy/6596277835_9f86da54bb.jpg,daisy,white,0.06,0.38,0.12
189,daisy/7630517248_98fb8bee1f_n.jpg,daisy,white,0.07,0.41,0.43
190,daisy/10841136265_af473efc60.jpg,daisy,white,0.09,0.46,0.15
191,daisy/4286053334_a75541f20b_m.jpg,daisy,white,0.08,0.28,0.42
192,daisy/14114116486_0bb6649bc1_m.jpg,daisy,white,0.06,0.47,0.13
193,daisy/14332947164_9b13513c71_m.jpg,daisy,white,0.1,0.1,0.43
194,daisy/5626895440_97a0ec04c2_n.jpg,daisy,white,0.07,0.16,0.24
195,daisy/3633489595_a037a9b7a4_m.jpg,daisy,white,0.06,0.24,0.49
196,daisy/2482982436_a2145359e0_n.jpg,daisy,white,0.05,0.33,0.24
197,daisy/13953307149_f8de6a768c_m.jpg,daisy,white,0.07,0.24,0.33
198,daisy/4561871220_47f420ca59_m.jpg,daisy,white,0.06,0.48,0.17
199,daisy/8887005939_b19e8305ee.jpg,daisy,white,0.08,0.25,0.29
200,daisy/3463313493_9497aa47e5_n.jpg,daisy,white,0.08,0.27,0.2
201,daisy/17249393016_093e915012_n.jpg,daisy,white,0.1,0.37,0.19
202,daisy/4697206799_19dd2a3193_m.jpg,daisy,white,0.07,0.48,0.35
203,daisy/4563059851_45a9d21a75.jpg,daisy,white,0.1,0.38,0.38
204,daisy/3598615130_578ed30e5f.jpg,daisy,white,0.08,0.21,0.21
205,daisy/16401288243_36112bd52f_m.jpg,daisy,white,0.06,0.49,0.21
206,daisy/5135131051_102d4878ca_n.jpg,daisy,white,0.05,0.24,0.39
207,daisy/8932490012_cc08e690ba_n.jpg,daisy,white,0.1,0.22,0.13
208,daisy/2621723097_736febb4a4_n.jpg,daisy,white,0.07,0.14,0.21
209,daisy/4814515275_6e25a6c18f.jpg,daisy,white,0.06,0.44,0.12
210,daisy/7702332000_3f21ef4571_n.jpg,daisy,white,0.08,0.25,0.47
211,daisy/4496202781_1d8e776ff5_n.jpg,daisy,white,0.07,0.47,0.34
212,daisy/3098641292_76c908ba1f_n.jpg,daisy,white,0.08,0.13,0.16
213,daisy/3450822975_7e77d67636_n.jpg,daisy,white,0.05,0.3,0.31
214,daisy/14221836990_90374e6b34.jpg,daisy,white,0.07,0.4,0.26
215,daisy/9180706736_092d43088c.jpg,daisy,white,0.05,0.44,0.21
216,daisy/19834392829_7d697871f6.jpg,daisy,white,0.09,0.46,0.35
217,daisy/6054952060_c88612f3c5_n.jpg,daisy,white,0.09,0.11,0.4
218,daisy/10437929963_bc13eebe0c.jpg,daisy,white,0.06,0.16,0.27
219,daisy/20289938802_e16fa9f23d.jpg,daisy,white,0.07,0.44,0.17
220,daisy/4440480869_632ce6aff3_n.jpg,daisy,white,0.1,0.45,0.17
221,daisy/8740807508_0587f5b7b7.jpg,daisy,white,0.09,0.44,0.29
222,daisy/19653086178_28156b7ce4_m.jpg,daisy,white,0.09,0.39,0.17
223,daisy/14333681205_a07c9f1752_m.jpg,daisy,white,0.09,0.4,0.14
224,daisy/9120905231_329598304e.jpg,daisy,white,0.1,0.37,0.19
225,daisy/19280272025_57de24e940_m.jpg,daisy,white,0.07,0.41,0.11
226,daisy/2635314490_e12d3b0f36_m.jpg,daisy,white,0.09,0.45,0.3
227,daisy/14221848160_7f0a37c395.jpg,daisy,white,0.05,0.25,0.4
228,daisy/16527403771_2391f137c4_n.jpg,daisy,white,0.08,0.34,0.42
229,daisy/15029936576_8d6f96c72c_n.jpg,daisy,white,0.07,0.13,0.42
230,daisy/19178753159_a471bf4b6b.jpg,daisy,white,0.06,0.35,0.13
231,daisy/7630511450_02d3292e90.jpg,daisy,white,0.06,0.23,0.26
232,daisy/6480809573_76a0074b69_n.jpg,daisy,white,0.09,0.31,0.2
233,daisy/3445110406_0c1616d2e3_n.jpg,daisy,white,0.09,0.49,0.14
234,daisy/4534460263_8e9611db3c_n.jpg,daisy,white,0.05,0.26,0.12
235,daisy/3711892138_b8c953fdc1_z.jpg,daisy,white,0.06,0.32,0.24
236,daisy/15853110333_229c439e7f.jpg,daisy,white,0.06,0.11,0.36
237,daisy/2536529152_33ef3ee078_n.jpg,daisy,white,0.09,0.15,0.48
238,daisy/3117644024_1cbb59a509_n.jpg,daisy,white,0.08,0.48,0.28
239,daisy/2889325612_f2fc403ff0_m.jpg,daisy,white,0.08,0.22,0.24
240,daisy/21626652132_97e1318bb8_m.jpg,daisy,white,0.06,0.24,0.34
241,daisy/8489463746_a9839bf7e4.jpg,daisy,white,0.07,0.37,0.47
242,daisy/3639009391_0f910681b7.jpg,daisy,white,0.07,0.39,0.28
243,daisy/10555815624_dc211569b0.jpg,daisy,white,0.08,0.24,0.5
244,daisy/8446495985_f72d851482.jpg,daisy,white,0.09,0.18,0.2
245,daisy/16020253176_60f2a6a5ca_n.jpg,daisy,white,0.09,0.26,0.49
246,daisy/14816364517_2423021484_m.jpg,daisy,white,0.07,0.22,0.13
247,daisy/4694730335_2553e77aa5_z.jpg,daisy,white,0.07,0.38,0.48
248,daisy/2619413565_61a6cd3ac9_m.jpg,daisy,white,0.08,0.38,0.17
249,daisy/7749368884_1fc58c67ff_n.jpg,daisy,white,0.06,0.29,0.37
250,daisy/4654579740_6671a53627_m.jpg,daisy,white,0.1,0.49,0.39
251,daisy/12601254324_3cb62c254a_m.jpg,daisy,white,0.09,0.2,0.14
252,daisy/4222584034_8964cbd3de.jpg,daisy,white,0.05,0.25,0.39
253,daisy/14707111433_cce08ee007.jpg,daisy,white,0.09,0.28,0.4
254,daisy/2567033807_8e918c53d8_n.jpg,daisy,white,0.05,0.39,0.24
255,daisy/5459481183_18d2d49e44_m.jpg,daisy,white,0.06,0.27,0.22
256,daisy/10466290366_cc72e33532.jpg,daisy,white,0.06,0.48,0.17
257,daisy/11439894966_dca877f0cd.jpg,daisy,white,0.07,0.41,0.45
258,daisy/3706420943_66f3214862_n.jpg,daisy,white,0.05,0.39,0.35
259,daisy/17101762155_2577a28395.jpg,daisy,white,0.05,0.15,0.29
260,daisy/5885826924_38fdc6bcaa_n.jpg,daisy,white,0.08,0.43,0.29
261,daisy/6910811638_aa6f17df23.jpg,daisy,white,0.05,0.19,0.28
262,daisy/4540555191_3254dc4608_n.jpg,daisy,white,0.1,0.16,0.39
263,daisy/4281102584_c548a69b81_m.jpg,daisy,white,0.08,0.36,0.13
264,daisy/18195689904_46619b7e16_n.jpg,daisy,white,0.07,0.35,0.37
265,daisy/14698531521_0c2f0c6539.jpg,daisy,white,0.09,0.35,0.12
266,daisy/3275951182_d27921af97_n.jpg,daisy,white,0.06,0.23,0.12
267,daisy/3483303007_42e3f90da7.jpg,daisy,white,0.09,0.42,0.3
268,daisy/3337536080_1db19964fe.jpg,daisy,white,0.05,0.32,0.44
269,daisy/8671824531_64b816949e_m.jpg,daisy,white,0.07,0.49,0.18
270,daisy/14354051035_1037b30421_n.jpg,daisy,white,0.08,0.13,0.29
271,daisy/7133935763_82b17c8e1b_n.jpg,daisy,white,0.08,0.41,0.2
272,daisy/4993492878_11fd4f5d12.jpg,daisy,white,0.07,0.18,0.19
273,daisy/19544831049_0d738d4872_m.jpg,daisy,white,0.05,0.42,0.23
274,daisy/3025866885_22fb0b61c6_n.jpg,daisy,white,0.09,0.33,0.14
275,daisy/6864242336_0d12713fe5_n.jpg,daisy,white,0.06,0.47,0.22
276,daisy/4276898893_609d11db8b.jpg,daisy,white,0.06,0.36,0.27
277,daisy/5434742166_35773eba57_m.jpg,daisy,white,0.05,0.45,0.24
278,daisy/3415180846_d7b5cced14_m.jpg,daisy,white,0.09,0.31,0.27
279,daisy/8383753520_8391dd80ee_m.jpg,daisy,white,0.08,0.29,0.2
280,daisy/17357636476_1953c07aa4_n.jpg,daisy,white,0.08,0.33,0.29
281,daisy/20948886919_cac7844f34_n.jpg,daisy,white,0.09,0.43,0.2
282,daisy/8759177308_951790e00d_m.jpg,daisy,white,0.08,0.31,0.2
283,daisy/5684911529_88a7ae32ba_n.jpg,daisy,white,0.06,0.13,0.21
284,daisy/4861391074_c3e122dab0_m.jpg,daisy,white,0.05,0.13,0.22
285,daisy/2646438199_b309cffd65_n.jpg,daisy,white,0.06,0.37,0.11
286,daisy/14087947408_9779257411_n.jpg,daisy,white,0.05,0.39,0.27
287,daisy/14219214466_3ca6104eae_m.jpg,daisy,white,0.07,0.31,0.36
288,daisy/8063844363_db3f4dea85.jpg,daisy,white,0.1,0.31,0.32
289,daisy/3704305945_a80e60e2f6_m.jpg,daisy,white,0.08,0.43,0.1
290,daisy/2581171297_b0a249b92b_n.jpg,daisy,white,0.1,0.36,0.32
291,daisy/4727955343_0bb23ac4ae.jpg,daisy,white,0.09,0.42,0.36
292,daisy/7377004908_5bc0cde347_n.jpg,daisy,white,0.09,0.17,0.31
293,daisy/14507818175_05219b051c_m.jpg,daisy,white,0.08,0.48,0.37
294,daisy/5981645737_29eceac291_m.jpg,daisy,white,0.09,0.21,0.37
295,daisy/9242705328_eee8402a8d.jpg,daisy,white,0.06,0.42,0.19
296,daisy/13977181862_f8237b6b52.jpg,daisy,white,0.07,0.49,0.11
297,daisy/9515186037_3be48fe68f.jpg,daisy,white,0.09,0.31,0.17
298,daisy/18901817451_43e2b45f6c.jpg,daisy,white,0.06,0.1,0.48
299,daisy/3695826945_9f374e8a00_m.jpg,daisy,white,0.08,0.15,0.12
300,daisy/8348621545_8f02b82662_n.jpg,daisy,white,0.09,0.48,0.38
301,daisy/9158041313_7a6a102f7a_n.jpg,daisy,white,0.08,0.44,0.12
302,daisy/5087720485_c0914fb623.jpg,daisy,white,0.09,0.32,0.23
303,daisy/21805938544_bf6bb0e4bc.jpg,daisy,white,0.08,0.4,0.34
304,daisy/5110105726_53eb7a93be_m.jpg,daisy,white,0.09,0.29,0.16
305,daisy/4268817944_cdbdb226ae.jpg,daisy,white,0.07,0.35,0.17
306,daisy/14167543177_cd36b54ac6_n.jpg,daisy,white,0.07,0.2,0.2
307,daisy/20580471306_ab5a011b15_n.jpg,daisy,white,0.08,0.34,0.2
308,daisy/3717746329_53f515c6a6_m.jpg,daisy,white,0.09,0.35,0.28
309,daisy/14866200659_6462c723cb_m.jpg,daisy,white,0.07,0.37,0.3
310,daisy/9593034725_0062f0d24e_n.jpg,daisy,white,0.06,0.22,0.35
311,daisy/7320089276_87b544e341.jpg,daisy,white,0.05,0.47,0.17
312,daisy/8645839873_0151fb92bf_n.jpg,daisy,white,0.07,0.1,0.27
313,daisy/3720632920_93cf1cc7f3_m.jpg,daisy,white,0.08,0.5,0.31
314,daisy/3588872598_e0f9a1d2a1_m.jpg,daisy,white,0.08,0.36,0.2
315,daisy/3764116502_f394428ee0_n.jpg,daisy,white,0.09,0.45,0.21
316,daisy/6136947177_47ff445eb4_n.jpg,daisy,white,0.09,0.42,0.4
317,daisy/5679288570_b4c52e76d5.jpg,daisy,white,0.09,0.24,0.32
318,daisy/5665834973_76bd6c6523_m.jpg,daisy,white,0.09,0.17,0.24
319,daisy/16482676953_5296227d40_n.jpg,daisy,white,0.09,0.39,0.1
320,daisy/3975010332_3209f9f447_m.jpg,daisy,white,0.06,0.12,0.34
321,daisy/10994032453_ac7f8d9e2e.jpg,daisy,white,0.09,0.13,0.21
322,daisy/3552074420_2a0a7166db_m.jpg,daisy,white,0.09,0.22,0.23
323,daisy/2520369272_1dcdb5a892_m.jpg,daisy,white,0.09,0.48,0.47
324,daisy/3386988684_bc5a66005e.jpg,daisy,white,0.1,0.37,0.12
325,daisy/16360180712_b72695928c_n.jpg,daisy,white,0.06,0.39,0.23
326,daisy/15784493690_b1858cdb2b_n.jpg,daisy,white,0.06,0.26,0.17
327,daisy/2579018590_74359dcf1a_m.jpg,daisy,white,0.09,0.34,0.32
328,daisy/2539552964_921cf645ba_n.jpg,daisy,white,0.07,0.44,0.37
329,daisy/4085794721_7cd88e0a6c_m.jpg,daisy,white,0.07,0.33,0.39
